Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Do Kaliyan,None,,None,7.7,1948,Raja Paranjpe,"Badriprasad, Baby Bhate, Gopal Bokre, Saroj Borkar",,10
Shree Shree Rajadhiraja Shree Shree Madana Kamaraja Shree Shree Vilasa Raja Shree Shree Madhubana Raja Shree Shree Krishnadeva Donga Raja,None,,None,7.0,1994,,,,8
The unlocker,None,6,"Short, Thriller",,2018,Neeraj Ganesh Sharma,Nikhil Pardeshi,,
The Golden Leaf,None,,Documentary,6.7,1957,,Clement Baptista,,32
It's the Beginning,None,15,"Short, Drama",,2017,,Dheeraj Sarthak,,
Caydoe & Xenon Phoenix - So Done,None,,"Short, Music",,2021,Sabyasachi Shome,"Subham Ghosh, Pratyush Singh",,
Dakshayagnam,None,184,"Musical, Drama",,1941,Chitrapu Narayana Rao,"Vemuri Gaggaiah, C. Krishnaveni, Bezawada Rajarathnam, Varalakshmi G.",,
The Salesman (Assamese),None,21,"Short, Crime",9.5,2018,Andi Nomino,"Karishma Borah, Jay Kumar, Sabyasachi Sarkar",,8
Khel Ayushyacha,None,,Crime,,2020,Prakash Jadhav,"Pratiksha Jhadav, Prema Kiran, Surekha Kudachi, Jairam Kulkarni",,
Munda Like Me,None,,"Short, Music",,2015,Navjit Buttar,"Jaz Dhami, Aman Hundal",,
Chor,None,8,"Short, Crime",7.2,2015,Christy Johnson,"Anud Singh Dhaka, Chirag Kambale, Raj Kashyap, Aasim Kazi",,19
Janta Guest House,None,,Horror,,2022,Safi Bharti,"Parth Barot, Trupti Makadia",,
Gunjan,None,,None,,1948,V.C. Desai,"David Abraham, Nalini Jaywant, Trilok Kapoor, Balraj Sahni",,
Insured death,None,10,"Short, Comedy",,2018,"Saptaraj Chakraborty, 
Shiva Varma","Abhishek Banerjee, Kumar Varun, Kriti Vij",,
Iniyavale Vaa 1982,Not Rated,128,Family,,1982,,"Y.G. Mahendran, Menaka, Mohan, Rajesh",,
Junction Lo Jayamalini,None,113,Drama,,2018,Narra Sivanageswararao,"Ravi Kanth, Kavya Kapoor",,
Sukha Sansara,None,,Drama,,1992,Biresh Chatterjee,"Prasenjit Chatterjee, Anita Das, Aparajita Mohanty, Uttam Mohanty",,
Khonj,None,,"Short, Horror",,2012,Narugopal Mandal,Balaram Pal,,
Deiva Sankalpam,None,,Musical,,1972,P.R. Somu,"A.V.M. Rajan, Cho Ramaswamy, R. Muthuraman, Balaiah M.",,
Oru Kunju Janikkunnu,None,,None,,1982,M. Krishnan Nair,Adoor Bhasi,,
Nettippattam,None,,"Comedy, Drama",6.6,1991,Kaladharan,"Sreenivasan, Rekha, Jagadish, Jagathi Sreekumar",,40
Vishapuram,None,,None,,2018,,Srinivas Sandiri,,
Ambar Sare De Papad,None,,"Short, Romance",,1997,,Divya Dutta,,
Alludochhadu,None,,None,,1976,Kolli Pratyagatma,"Jayasudha, Rajababu",,
Coffee?,None,6,"Short, Romance",,2018,,Neshu Saluja,,
Raju,Not Rated,107,"Drama, Family, Music",,2017,,Nanditha Yadav,,
Salame Ishq Meri Jaan,None,,"Short, Romance",,1998,,Sharbani Mukherji,,
Which type of people and how they should be hired in sales and marketing in hindi by Avijit Ghosh,None,,Short,,2022,Avijit Ghosh,Avijit Ghosh,,
Gadibidi Krishna,None,140,Drama,,1998,Om Sai Prakash,"Avinash, Bhagyashree, Ramesh Bhat, Sihi Kahi Chandru",,
Khudi,None,9,Short,,2019,Prashant Bhilare,Deepak Keshri,,
Manguni Pandiyargal,None,114,Drama,,2019,Jebaa,"Nellai Siva, Vasu Vikram",,
Maavuri Magaadu,Not Rated,133,None,,1987,K. Bapaiah,"Krishna, Sridevi, Kaikala Satyanarayana, Nuthan Prasad",,
Shambu and the Man-eater,None,7,"Animation, Short, Comedy",,2012,,"Santosh Palav, Kushal Ruia",,
Sorry Kane,None,,Drama,,2014,Roopesh Raj,"Archana, Charan Raj, Roopesh Raj",,
Bhetali Ti Punha 2,None,,Romance,,,Jayant Pawar,"Pooja Sawant, Vaibhav Tatwawadi",,
Vadhu Varulu,Not Rated,143,None,,1976,N.D. Vijaya Babu,Anjali Devi,,
Lafanga Langoor,None,,None,,1931,,Mohan Dayaram Bhavnani,,
Ammayi Kaapuram,None,,Drama,,2008,,"Radhika Sarathkumar, Narasimha Raju, Manjula, Pravallika",,
Mausam,None,,"Short, Musical",,2021,Krishan Hooda,"Anjvi Hooda, Naveen Sandhu",,
Khendaad (Illiterate),None,6,"Short, Drama",,2016,,Amar Melgiri,,
Daimler India: Supplier Meet,None,,Short,,2013,,M. Srinivasan,,
Asahay,None,,Talk-Show,,2022,,"Dilip Ghatak, Narugopal Mandal",,
The Language of God,None,20,"Short, Drama",,2016,,Subhajit Das,,
Seetha,None,,None,,1980,P.P. Govindan,"Ambika, Murali Mohan, Thikkurisi Sukumaran Nair, Aranmulla Ponnamma",,
Man of the Match,None,,None,5.1,1996,Joshy Mathew,"Biju Menon, Vani Viswanath, Ratheesh, Sphadikam George",,8
Billo,None,,"Short, Music",,2020,,Vishal Srivastav,,
Wion Wideangle: The Story of The Wuhan Virus,None,25,"Documentary, Short, News",8.2,2020,,"Rahul Dalal, Palki Sharma Upadhyay",,12
Fitness Health Oil TVC Ft. Rohitash Gaud & Shubhangi Atre,None,,Short,,2018,Rahul Kapoor,"Neha Bam, Rohitash Gaud, Vishal Kalra, Micky Makhija",,
Nadezdha,None,12,"Short, Drama",,2016,Raman Rishi Dwivedi,"Raj, Abhinav Sabyasachi, Sonamm Sharma",,
Kahan Gaya Bedardi,None,,"Short, Romance",,1995,,Sonu Nigam,,
Himangshu Arya Ki Degree Film,None,33,"Short, Comedy",,2016,,Himangshu Arya,,
Grihalaxmi,None,,None,,1934,Sarvottam Badami,"Asooji, Balaram, Sabita Devi, Lalita Devulkar",,
Simple Rhyme,None,4,"Short, Adventure, Music",,2014,,Reema Sengupta,,
Mennu Ishq Samajh Na Aave,None,4,"Short, Musical",,2021,Imtiaz Alam,"Jagriti Luthra, Neeta Pandey",,
Dilaram,None,,None,,1926,Nanubhai B. Desai,"Jani Babu, Miss Dwarki, Miss Mary, Prabha Shanker",,
Money Honey Shani,None,,Drama,,2013,Rajesh Murthy,"Vasu Dixit, Kanchan Ramaprasad, Bhavana Rao",,
Sati Tulasi,None,,"Drama, Musical",,1936,Chitrapu Narasimha Rao,"Ghantasala Balaramaiah, Vemuri Gaggaiah, Sriranjani Sr.",,
Manase,None,,None,,1973,Hameed Kakkassery,"Bahadur, Adoor Bhasi, Jayabharati, Prem Nazir",,
Tadap,None,117,Romance,,2005,"Asif Ali, 
Asif Ali","Uttar Kumar, Sweta",,
Janumada Snehitharu,None,133,Romance,,2019,Parashuram Navalli,"Angarika, Shaikh Mukthiyar, Rohit Shetty",,
Aangan,None,,"Drama, Family",,1973,Nasir Hussain,"Farida Jalal, Ashim Kumar, Leela Mishra, Deb Mukherjee",,
Mahajananiki Maradhalu Pilla,None,,Romance,,1990,Vijay Bhapineedu,"Brahmanandam, Nirosha, Rajendra Prasad",,
Bhavantarana,None,63,Documentary,7.0,1991,Kumar Shahani,"Kelucharan Mohapatra, Sanyukta Panigrahi",,10
Yaad Teri,None,,"Short, Music",,2019,,Sidhaant Sachdev,,
Bsnl Tvc,None,1,"Animation, Short",,2014,,Ankur Pajni,,
Priyanshu sah biography 2.0,None,46,Comedy,,2021,"Vishal Raaj, 
Ram Narayan Sah",Iampriyanshusah,,
Rahiman Dhaaga Prem Ka,None,,Family,,2014,Desh Deepak,"Anang Desai, Narayani Shastri",,
The Promised Land and the Broken Promises,None,20,"Documentary, Short, Action",,2013,,"Antony Palackal, Ansu Mary Jacob",,
Nishi Bhor,Not Rated,110,Drama,,1983,Rashbehari Singha,"Debashree Roy, Somnath Chowdhury, Shilpi Sharkar Apu, Satya Banerjee",,
Sheshbesh,None,,None,,1950,Jyotish Bannerjee,"Ajit Banerjee, Abhi Bhattacharya, Tulsi Chakraborty, Anubha Gupta",,
Police Station,None,,Action,,1959,,"Kamran, Krishna Kumari, Habib, Sheikh",,
Banda Paramasivam,None,153,None,5.5,2003,T.P. Gajendran,"Abbas, Livingston, Kalabhavan Mani, Manivannan",,11
Who could and will create your Career in sales and marketing by Avijit Ghosh in hindi,None,,Short,,2022,Avijit Ghosh,Avijit Ghosh,,
Ant Karm,None,,Drama,,2022,Anubhava Shrivastava,"Aaadil Malik, Suman Pandey, Pradeep Sharma",,
Collegian,None,,None,,1944,,Balwant Bhatt,,
Waris,None,20,"Short, Drama",,2012,Ratul Soumya Tripathi,"Arvind, Shankar Dev, Shivam",,
French Style - Prabhu Baskar,None,,Short,,2021,Prabhu Baskar,Prabhu Baskar,,
Pinjra,None,,Short,,,Veer Salvi,Sanchit Malhotra,,
Shali Zindabad,None,,Drama,,2016,S.M. Musa,"Avi, Debasish Bose, Arif Hasmi, Ashraf Khan",,
Bhootham Bhaavi Varthamanam,None,,"Short, Comedy",,2016,Mridul George,"Sijo Johny, Mredul Mohan, Rahul Radhakrishnan Nair, Subin Paul",,
Rajambal,None,,None,,1935,,A. Narayan,,
Hum Paanch Ab Ayega Asli Maza,None,,Comedy,,,,"Javed Pathan, Saloni Jain, Seema Pandey, Sooraj Thapar",,
Hogi Baa Magale,None,,Drama,,2008,U.H. Rajanna,"Athin, Deepa Chari, Girija Lokesh",,
Haresh Khanderiya Is Back,None,,"Short, Music",,2022,Haresh Khanderiya,Haresh Khanderiya,,
Alphonsa,None,,None,,1952,O.J. Thottan,"Jose Prakash, Miss Kumari",,
Know Your Responsibility,None,,"Short, Drama",,2016,Vishal Bansal,"Chilaus, Abhishek Kapoor",,
India Poochega Sabse Shaana Kaun,None,,Reality-TV,6.5,2015,,Shah Rukh Khan,,11
The Land of the Untouched Doors,None,,"Adventure, Fantasy",,2021,Abhishek Pathak,"Pradeep Kabra, Narendra Kumar, Abhishek Pathak, Shahalam",,
Amar bandhan,None,,Drama,,1986,Tapan Saha,"Babita Adhikari, Nirmal Kumar Chakraborty, Subhendu Chatterjee, Sukhen Das",,
Rani Aur Maharani,None,,"Action, Thriller",4.3,1993,Kanti Shah,"Ishrat Ali, Sadashiv Amrapurkar, Damini, Poonam Dasgupta",,10
Moving Perspectives,None,,Documentary,,1967,,Mrinal Sen,,
Indian Kitchen Recipes,None,,None,,2018,,,,
Mamta Gave Geet,None,,Family,,1981,C. Parmanand,"Azara, Tridip Kumar, Pyare Mohan Sahay, Kamal Nath Singh Thakur",,
Vanitha Police,None,,None,7.0,1984,Alleppey Ashraf,"Prem Nazir, Seema, Mohanlal, Mala Aravindan",,12
Gulzar,None,,None,,1927,Nanubhai B. Desai,"Jani Babu, Malka, Mani, Yakub",,
Adadae,None,,None,,2019,Kamal Saromuni,"Alexander Babu, Aru Pazhani, Malini Sathappan, Vikram Shadev",,
A Date to Remember,None,9,"Short, Drama",,2014,Karan Koppikar,"Neha Shrivastav, Anjali Walia, Harjiv Walia",,
Devanthakudu,None,180,"Adventure, Drama, Fantasy",,1960,Chittajalu Pullayya,"T. Kirshna Kumari, S.V. Ranga Rao, N.T. Rama Rao",,
Akorshon,None,180,Crime,,2013,Devraj Sinha,"Ferdous Ahmed, Samadarshi Dutta, Rai, Rituparna Sengupta",,
Hichyasathi Kay Pan,None,,Comedy,,2018,Milind Dastane,"Mangesh Desai, Bhargavi Chirmuley, Somnath Mali, Kushal Badrike",,
Mission Sapne,None,,Reality-TV,7.2,2014,,"Sonali Bendre, Salman Khan, Ranbir Kapoor, Varun Dhawan",,30
Heritage Trails One District One Product,None,,Documentary,,2021,,Gaurav Chopra,,
The Story of Steel,None,,Documentary,,1956,,Harisadhan Dasgupta,,
Images/Reflections,None,,Documentary,,2015,Girish Kasaravalli,Adoor Gopalakrishnan,,
Mission Prevention,None,22,"Documentary, Short",,2017,,Sohail H. Jafferi,,
Krishna,None,20,"Drama, Fantasy, Romance",,,,,,
Thodi Hor Peen Do,None,,"Short, Musical",,2011,Sumit Bhardwaj,"Dj Bhuvi, Charanjeet Channi",,
Parthom Pazhaginom,None,122,Romance,,,Rasu Mathuravan,"Thambi Ramaiah, Soori, Vaiyapuri",,
Orb of Night,None,19,"Short, Drama",,2017,,Joshi Parth,,
The Note,None,,"Short, Drama",,2016,Shashwat Dwivedi,"Prateek Chaturvedi, Manish Rahi, Rishi Rathish, Sanjay Shrivastava",,
On Mona's Birthday,None,14,"Short, Drama",,2016,Narendra Nath,Madhavi Latha,,
Nasha,None,,Drama,,2021,,"Rajesh Desai, Fahad Ikram, Kalyani Kumaeri",,
Mirror-The Other Side,None,30,"Short, Drama, Mystery",6.2,2017,Keerat Sawhney,"Pankaj Bhatti, Dhairya Singh Choudhary, Prachi Gulati, Rahul Kumar",,12
Everything Is New,None,85,"Documentary, Fantasy",,2014,Transgressive North,The Children Of The Light Of Love Home,,
Tonu Sharma,None,,Drama,,,Varun Khanna,Bidita Bag,,
Block by Block,None,23,"Documentary, Short",,2013,Hina Saiyada,"Raj Zutshi, Sachin Khedekar",,
Afghan Abla,None,,None,,1931,,G. Devare Narayan,,
Halahala,None,36,"Short, Drama",9.0,2020,Madan Reddy,"Pawon Ramesh, Keshav Deepak, Jagadeesh Prathap Bandari, Krishna Chaitanya",,7
Andhere Se Ujale Tak,None,14,"Documentary, Short",,2008,,Tarsem Antil,,
Folk Dances of Gujarat,None,,Documentary,,1973,,Clement Baptista,,
Kudiyan Jehar diyan Pudiyan,None,,"Short, Drama",,2019,,Anurag Sharma,,
Bahadur Ramesh,None,,None,,1939,K. Amarnath,"Jeevan Dhar, Rajkumari",,
Aaj Hum Karein Woh,None,,"Short, Music",,2018,Kamran Zaid,"Salman Shaikh, Soniya Singh",,
Ek Tamasha Rozana,None,,"Short, Drama",,2017,,"Ravi Azad, Anjul Chaturvedi",,
Poomadathu Pennu,None,,None,,1984,T. Hariharan,"Anuradha, Paravoor Bharathan, Nellikode Bhaskaran, Unni Mary",,
The Last Letter,None,6,"Short, Drama",,2019,Abhishek Swain,Kuhu Pattnayak,,
Resound,None,,Action,,,S.S. Murali Krishna,"Rashi Singh, Sai Ram Shankar",,
Maa,None,,"Short, Music",,2018,Praveen Kanniah,"Barsa, Dk Chanana, Shobha Chanana, Rama R. Kumar",,
Prarthanai,None,,None,4.4,1973,,"Nagesh, Sridevi",,10
Reveal,None,130,"Mystery, Thriller",5.3,2019,Murali .S.V.,"Aadhya Aaradhana, Advith Narayanankutty, Sudhakar, Baby Vismaya",,"1,508"
Stranger: On the bench,None,,"Short, Drama, Thriller",,2018,"Lokesh Kumar Aaron, 
Sreekanth","Satish Babu, Jyothe, Master Khaja, Kranthi Kiran",,
Achena Atithi,None,160,Drama,6.6,1973,"Sukhen Das, 
Gyanesh Mukherjee","Ajitesh Bannerjee, Samit Bhanja, Satindra Bhattacharya, Premendu Bose",,7
The Bridge,None,,"Short, Drama",,2016,"Shekhar Mantha, 
Satyarth Shaurya Singh","Sehraan Kalra, Sidharth Mote",,
Mariyam,None,,"Short, Drama",,2018,Anukriti Singh,"Anamika Singh, Aman Deep Walia",,
He has come for me,None,,"Short, Thriller",,2018,,Manpreet Singh Chadha,,
Bihari Priyanshu,None,,"Short, Musical",,2021,Priyanshu Sah,"Iampriyanshusah, Priyanshu Sah",,
Shabri,None,30,"Short, Crime",,2016,Kkunal Shinde,"Rutuja Aitawadekar, Bhagyashree Dalvi, Prerna Gaikwad, Manali Sandav",,
Pesum Daivam,None,,None,6.7,1967,K.S. Gopalakrishnan,"Padmini, Shivaji Ganesan, Baby Rani, Sowcar Janaki",,18
Suhag Sindoor,None,,None,,1953,,Shyama,,
Setta Ramudaithe,None,,None,,1979,Subba Rao B.A.,"Jayasudha, Murali Mohan, Shankar Nag",,
Otho Jago Nijeke Niye Vabo Part - 2,None,,Talk-Show,,2022,Narugopal Mandal,Narugopal Mandal,,
Sajan Ka Dard,None,,Romance,,1995,,"Beena Banerjee, Urmila Bhatt, Tarun Dhanrajgir, Upasna Khosla",,
Paul 10,None,19,"Short, Drama, Sport",,2021,Sunil Revankar,"Ishika, Saurabh Karkhanis, Siddhi Sardesai, Mayur Mayekar",,
Praise Armaan Bedil,None,,"Short, Music",,2021,"Kunwar Raj Singh, 
Subeg Singh","Armaan Bedil, Sruishty Mann",,
He Aapla Asach Chalyacha,None,169,Comedy,,2004,V.K. Naik,"Anand Abhyankar, Vijay Chavan, Ashok Gavankar, Milind Gawali",,
The Tanners of Jharauta,None,,Documentary,,1958,,Clement Baptista,,
Bunch of Grapes,None,80,"Drama, Family",,2018,Shomshuklla Das,"Catherine Black, Sharmila Roy Choudhury Saha",,
Chanda,None,,Drama,,2008,Gajendra Ahire,"Makarand Anaspure, Bhargavi Chirmuley, Siddarth Jadhav, Swarasha Jadhav",,
Pavilion Casual (TVC),None,,Musical,,2019,Afzal Ahmad Khan,Abhishek Bajaj,,
Sunny Side-up,None,,"Short, Adventure",,,Pravin Kariyil James,"Chethan Jayalal, Nasser Lathif",,
Kaliyodum,None,,None,,1965,P. Subramaniam,"Joseph Chacko, Jayanthi, Babu Joseph, Madhu",,
Jhol Company Public Ltd.,None,,Crime,,2017,Rashid Khan,"Ajaz Khan, Jagraj Singh Gooman, Robin Das, Rakesh Baranwal",,
Krishnavataram,None,,None,6.1,1982,Bapu,Sridevi,,22
Ek Hansi Khoyb Ko,None,,"Short, Musical",,2004,Narugopal Mandal,"Runa Layla, Akash Sarkar",,
Shetal Tara Unda Pani,None,,Romance,,1990,,"Adi Irani, Firoz Irani, Sahi Ishani, Arvind Rathod",,
Ghulami,None,,None,,1945,Mohan Wadhwani,"David Abraham, Mumtaz Begum, Renuka Devi, Masood",,
Hides and Strings,None,7,Short,7.2,1969,,John Abraham,,8
Nadaan Dost,None,6,"Short, Drama",,2017,Indira Aditi Rawat,"Madhura Zende, Rati Tripathi",,
Mangalya Yoga,None,,None,,1958,P.K. Lal,"T.N. Balakrishna, Leelavathi, Sunitha Roy, Shashidar",,
Kaash,None,,Drama,,1995,,"Gautam Gulati, Girish Malik",,
Jubine and Ashok,None,,Drama,,2016,,Arabind Chandrasekhar,,
Bhole Shankar,None,130,Family,4.6,2008,Pankaj Shukla,"Mithun Chakraborty, Monalisa, Shivendu Shukla, Gopal Singh",,20
Chakravarthini,None,,None,,1977,Charles Ayyampalli,"Alummoodan, Bahadur, Adoor Bhasi, M.G. Soman",,
Chanak Gaile Rajaji,None,,"Short, Music",,2018,Shams Jamil,Ashish Tiwari,,
Deewana Deewani,None,,Romance,8.2,2013,Ashok Pati,"Babusan, Madhumita Chakraborty, Mihir Das, Minaketan Das",,6
Dwitiyo Ripu,None,,Drama,7.3,2015,Abhijit Chowdhury,"Bitan Biswas, Biswajit Chakraborty, Debashree Chakrobarty, Kheya Chattopadhyay",,27
Missing Dada,None,8,"Short, Drama",,2021,Shashank Jain,Dr(Er) Azad Jain,,
Learn to Live,None,23,"Short, Thriller",,2017,Jayaprakash C S,"Siddarth Shankar, Guruprasad R Gowda, Mohan, Jayaprakash C S",,
Dhwand,None,,"Short, Crime",,2016,Shubham Sanap,"Mitesh Asher, Yash Bhatkar, Rutuja Nagwekar, Riya",,
Voice,None,4,"Short, Drama",4.7,2009,"Harsh Vardhan Singh, 
Shankar Tudu, 
Sushant Kumar","Sayed Asad Ali, Raj Kishore Dalabehera, Md. Afzal Khan, Deepthi Ravisankar",,16
Chitraali,None,110,Horror,,2020,"Ravikiran, 
Chethan S.P.","Raghu Bhat, Chakravarthi Davanagree, Kirik Keerthi, Ajith Kumar",,
"Badshah, Aastha Gill Feat. Guru Randhawa: Heelein Toot Gayi",None,3,Music,5.0,2020,Abir Sengupta,"Kiara Advani, Badshah, Aastha Gill, Guru Randhawa",,7
Ghumtaroo Half Chaddi Par - Amarjeet Akela,None,,"Short, Romance",,2021,Rudra Deepak,Amarjeet Akela,,
Dwarkadas virachand jewellers TVC,None,,Musical,,2017,,Shivrajj J.D. Khuman,,
Day of Slaughter,None,,"Horror, Sci-Fi, Thriller",,,Nirmal Baby Varghese,Jeffin Joseph,,
Gomatha,None,11,"Short, Drama, Family",,2012,,Ranjith Narayan,,
The Goldfish Who Swam Out of the Fish Bowl,None,,"Short, Drama, Thriller",8.7,2019,Tathagata Ghosh,"Shataf Figar, Soumya Majumdar, Payel Rakshit, Gautam Siddhartha Ghosh",,7
Belgian Emperor's Visit to India,None,,Documentary,,1921,,Nitin Bose,,
Teer,None,,Drama,,1954,,,,
Ramaiah Thandri,None,,Musical,,1975,B.V. Prasad,"Kaikala Satyanarayana, Jayanthi, Ranganath, Prabha",,
Bebo,None,,"Short, Music",,2019,,,,
Vikram Urvashi,None,,None,,1954,Modhu Bose,"Sadhona Bose, Biren Chatterjee, Nilima Das, Chhanda Devi",,
Insanity: An Action,None,23,"Short, Thriller",,2017,,Ramanuj Deka,,
Ek Azaadi Aisi Bhi,None,4,"Short, Drama",,2018,Anadii Chaturvedi,Manmohan Tiwari,,
Forgotten Children,None,,"Documentary, Short",,2014,Tanay Pant,"John Chacko, James D'Silva, Maria A. John, Ashmita Ramesh Kotian",,
Badhe Chalo,None,,None,,1937,Mohan Sinha,"Sarla, Radharani, Snehlata, O.K. Dar",,
Journey,Not Rated,120,Drama,,2011,B.S. Sanjay,"Mahesh Balaji, Bharath Kalyan, Shanthipriya",,
Goyang,None,,Adventure,,2018,Roshan Xavier,"Ameervayalar, Remya Menon, Samuel Sabu, Sandynair",,
Zoned Out,None,13,"Short, Drama",,2021,Adithya Tangirala,"Deepthie, A.R. Harwin Ram",,
Main Aayee Chhabilee,None,,"Short, Musical",,1997,,"Vaishnavi Mahant, Mamik Singh",,
Kachaghara,None,109,"Drama, Family",,1981,Byomkesh Tripathi,"Suresh Mahapatra, Vijayani Mishra, Surya Misra, Jostshna",,
Aktai Jibon,None,,"Short, Drama",,2021,Anurag Mitra,"Tulika Basu, Basabdatta Chatterjee, Rohit Mukherjee",,
Bangarada Hoovu,None,,None,9.3,1967,Arasukumar,"Kalpana, Udaya Kumar, Rajkumar, Pandari Bai",,17
19th April at a Railway Platform,None,23,"Short, Drama",,2017,Vandana Sengupta,"Akshay Anand Kohli, Vinod Nair, Santosh Bhat, Harnidh Kaur",,
KARB,None,,"Documentary, Short",,2018,Junaid Imam Shaikh,Tajaswani Patil,,
Shevatcha Malusura,None,144,None,,1965,Vasant Joglekar,"Madhu Apte, Uma Bhende, Ramesh Deo, Ashok Kumar",,
Kaada Chaathan,None,8,Short,,2018,Santhosh Puthan Veettil,"Gopika Janardhanan, Santhosh Puthan Veettil",,
Chekuthante Kotta,None,,None,,1967,M.M. Nesan,"Sathyan, Madhu, Ambika, J.A.R. Anand",,
Sachi,None,,Drama,,2003,Om Prakash Rao,Om Prakash Rao,,
Eye Donation,None,1,"Short, News",,2010,Jinal Bhate,Kritn Ajitesh,,
Samaj,None,,Drama,,1954,Vasant Joglekar,"Ashok Kumar, Shashikala Jawalkar, Usha Kiran, Anoop Kumar",,
Meraz,None,,Drama,,2022,Anirudh Upadhyay,"Satyakam Anand, Shashi Bhushan, Rajendra Narendra, Monita Sinha",,
Kanthe Vala,None,,"Short, Musical",,2002,,"Neeru Bajwa, Kamal Heer",,
Get Ready With Me,None,,Reality-TV,,2014,,,,
Vasna,None,,Action,,1991,,"Rita Bhaduri, Gajendra Chauhan, Mehmood Jr., Rajesh Puri",,
I Am Sai: The Inspiring Story of Sai Bakery,None,4,Short,,2016,,AmarRamesh,,
UTOPIA ek mrigtrishna...,None,,"Short, Drama",,2022,"Aishwarya Nidhi Gaur, 
Indrasis Majumdar","Ashish Yadav, Dev Fauzdar, Bela Barot, Vinod Saroj",,
The Knocker,None,,"Short, Mystery",,2020,Anant Mahadevan,Anant Mahadevan,,
Wajood,None,,"Short, Drama",,2018,Rahul Rai Gupta,Anjum Saifi,,
Telugu Nadu,None,,None,7.7,1982,,Lakshmi Deepak,,7
Hera Feri,None,,Comedy,,2021,,"Dharminder Banni, Dharminder Bunny, Parry Rana, Hakam Randhawa",,
Hey Jenny,None,,"Short, Comedy",8.9,2018,"Shashwat Dwivedi, 
Subodh Kumar Patra","Aditya Sharma, Shamangi Sharma, Aditya Sharrma",,8
Stri vs Samajham,None,,Adventure,,2022,Bharat Yadav,"Divya Chalamshetty, Jay Hero",,
Rahasya Hanthakudu,None,,None,,1985,,A. Jagannathan,,
Mombatthi,None,,Drama,,2017,Srinivas Kaushik,"Ravi Kumar, Rajprabhu Ravikumar, Sanjana, Neetu Shetty",,
Ulla Kadathal,None,150,Drama,,2005,Pugazendhi Thangaraj,"Radhika Kumaraswamy, Suja Varunee, Malaysia Vasudevan",,
Hasrat,None,,Action,,1946,Saila Mukherjee,"Ranibala, Dilawar, Mehrunissa, Sadiq",,
Damit Katha Adam Thirigindi,None,,Comedy,7.0,1987,K. Vasu,"Chandramohan, Jeevitha, V.K. Naresh, Rajendra Prasad",,8
Raju,None,,"Short, Drama",,2015,,Rugved Mondkar,,
Vasantha Sena,None,180,None,,1967,Ranga B.S.,"Akkineni Nageshwara Rao, Padmini, Anjali Devi, T. Kirshna Kumari",,
Subway,None,28,"Short, Fantasy",,2018,Junty Hugar,"Aishwarya Dinesh, Karthik Navada",,
Pennum Ponnum,None,,None,,1974,,V. Ramachandra Rao,,
