Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Anubhuti,None,110,Drama,,2021,Anirban Dutta,"Rittick Bhattacharya, Shamila Bhattacharya, Aritraa Sengupta",,
Peechha Karo,None,,Comedy,,1990,,"Shail Chaturvedi, Padma Chavan, Jatin Kanakia, Jaya Mathur",,
Simla Special,Not Rated,138,"Comedy, Drama",6.7,1982,Muktha V. Srinivasan,"Kamal Haasan, Sripriya, S. Ve. Sekar, Delhi Ganesh",,117
Ek tha Bhujang,None,73,Drama,7.5,2015,Mohinder Pratap Singh,"Yashit Duggal, Siddant Gupta, Pritma Manohar, Zubin Mehta",,9
Asuchi Mo Kalia Suna,None,,Drama,7.2,1989,Raju Misra,"Sujata Anand, Debu Bose, Pira Misra, Asrumochan Mohanty",,12
Lovestory 1999,None,,Romance,5.6,1998,K. Raghavendra Rao,"Ananth, Annapoorna, Ravi Babu, Brahmanandam",,12
Satyam Shivam Sundaram,None,22,Romance,,2017,,"Sneha Acharya, Abhimanyu Prajwal",,
Marla Puli,None,127,Drama,,2018,D. Ramakrishna,"Bhanu Sri, Varun Sandesh, Archana Shastry",,
Icche Nodi,None,,Drama,5.6,2015,,"Sreetoma Bhattacharya, Vikram Chatterjee, Sujan Mukherjee, Solanki Roy",,25
Struggler,None,,Thriller,6.6,2006,Mahesh Manjrekar,"Amitabh Bachchan, Atul Kale, Mahesh Manjrekar",,13
The Adventures of Sinbad,None,110,Animation,7.1,2013,,"Shinjan Neogi, Abhishek Panchal",,12
Prana Snehitha,None,,None,,1993,Bhargava,"Ramesh Bhat, Shankar Bhat, Bhavya, Sadashiv Brahmavar",,
Ragile kasi,None,100,Drama,,2011,Anil K. Nair,"Bala, Manoj K. Jayan, Shweta Menon, Anil Murali",,
CID Kolkata Bureau,None,,Crime,7.8,2012,,"Sudip Mukherjee, Amrita Mallick, Debashree Chakrobarty, Joy Bhattacharyya",,6
Quotation,None,,None,5.2,2004,Vinod Vijayan,"Arun, Sujitha, Thilakan, I.M. Vijayan",,6
Nitin Gupta: Royee Jande Naina,None,4,Music,,2019,Ramji Gulati,"Abhishek Bajaj, Radhika Bangia, Nitin Gupta, Akshay Kapoor",,
Daalcheeni,None,85,"Drama, Romance",,2022,"Sisir Kumar Sahu, 
Peenakee Singh","Suryamayee Mahapatra, Partha Ray",,
The Economist Podcasts,None,,News,,2015,,"Maggie Gyllenhaal, Mandy Patinkin, Ro Khanna",,
Mudda hai Bhookh: The War,None,114,Drama,8.5,2018,Mahmood Khan,"Yash Baba, Utkarsh Bajpayee, Nikhil Bansal, Samarth Bansal",,13
Raman Ethanai Ramanadi,None,,None,5.8,1970,P. Madhavan,"M. Bhanumathi, Shivaji Ganesan, Goundamani, S.N. Lakshmi",,10
Bambai Raat Ki Bahon Mein,None,136,"Crime, Drama, Romance",6.4,1968,Khwaja Ahmad Abbas,"Surekha, Madhavi, David Abraham, Prakash",,18
Atal Jaler Ahwan,None,,Drama,7.2,1962,Ajoy Kar,"Bhanu Bannerjee, Ranjana Bannerjee, Panchanan Bhattacharya, Chhabi Biswas",,17
Xobdo Nixobdo Kolahol,None,83,None,,2022,Dhanjit Das,"Raju Roy, Arif Ali, Jeet Baruah, Chandana Das",,
Relatively Relatable by Naveen Richard,Not Rated,55,Comedy,7.0,2020,Neville Shah,Naveen Richard,,111
Virgin Goat,None,87,Comedy,5.9,2011,Murali Nair,"Raghuvir Yadav, Sheila Naidu, Saurab Gharipurikar, Purnima Maudgil",,67
Bitnoon,None,120,Comedy,5.9,2015,"Abhijit Guha, 
Sudeshna Roy","Ritwick Chakraborty, Saayoni Ghosh, Gargi Roy Chowdhury",,35
Pause...,None,,"Short, Drama",,2021,Sujit Dube,"Bachan Pachehra, Pratyush Uday",,
Jawani Zindabaad,None,140,"Comedy, Drama, Romance",7.3,2010,Harinder Gill,"Raj Brar, Pooja Kanwal, Guggu Gill, Amni",,11
Babbar,None,130,Drama,,2019,Chandan Upadhyay,"Tanushree Chatterjee, Arvind Akela Kallu",,
Swahaa,None,26,"Short, Drama, Fantasy",,2019,Sisir Kumar Sahu,"Pallavi Barbie, Suresh Mishra, Subhasmita Rath",,
Vicksy,None,,Drama,,2021,Sharrma Mayyank,"Manav Anand Ahuja, Amitriyaan, Anindita Ashnita, Sandeep Bose",,
Captain Barry,None,,Action,3.2,1984,Surjit Gill,"Sunil Dhawan, Uma Dhawan, Benjamin Gilani, Rajan Haksar",,7
Fabulous Fashion Week,None,,Fantasy,,2021,Mohd Talib,"Mohd Talib, Bhasker Rathour, Swati Shankar Sharma, Nirvana Singh Chauhan",,
Perum Pulli,None,,Drama,,1991,Vikraman,"Anand Babu, Suman Ranganath",,
Bhabo,None,,Drama,,1989,Samir Chowdhury,"Preeti Sapru, Bharat Kapoor, Nina Tiwana, B.L. Chopra",,
Non: Veg,None,,"Short, Comedy",9.3,2015,Brijesh Jha,"Debadrita Kundu, Asifuddin Sheik",,6
Dhappa,None,,Crime,,2018,Siddharth Nagar,"Varsha Manikchand Shrivastav, Vishal Anand, Jaya Bhattacharya, Raja Guru",,
Bikini Shopkeeper- Red Prime,None,34,Comedy,,2021,,"Rocky Singh Rajput, Sapna Sharma",,
Muddat Ki Pyaas,None,,Thriller,,1991,,"Kalpana, Lalitha, Sudha, Suresh",,
Foreign Scotch,None,,"Crime, Drama, Thriller",,2022,,Ravi,,
CHETAK: THE WONDER HORSE,None,95,"Animation, History",,2012,,Rakesh Prasad,,
Taj Mahal,None,,Action,6.4,2010,Arun Singaraju,"Aarthi Agarwal, Raghu Babu, Brahmanandam, Jeeva",,24
Love and Murder,None,,"Action, Crime, Mystery",,1966,Raja Paranjpe,"Prithviraj Kapoor, Ramesh Deo, Jaymala Adarsh, Hiralal",,
Ishq,None,15,Romance,,2022,,"Sreeram Siddharth Krishna, Sowmya Nandigama, Sindhu Sinha",,
Friend Zone,None,22,"Short, Comedy",9.5,2022,Nikhil Jogi,"Sreeram Siddharth Krishna, Manju Sri, Srinu Rasuri",,17
Palak,None,80,Thriller,7.0,2006,Shivajee Chandrabhushan,"Prashant Batar, Rajeev Bharadwaj, Varsha Choudhary, Gauri",,12
Oru Nimisham Tharu,Not Rated,103,None,,1984,Suresh,"N. Govindankutty, Cochin Hanifa, Manavalan Joseph, Meena",,
Vil Vitha,None,,Thriller,,,Hari Uthra,"Araathya, Keluvai Suresh, Arun Micheal Daniel",,
Jasmine Stung,None,5,"Short, Drama",,2017,,Partho A. Gupte,,
Yard,None,,Crime,,,Prarjun Majumder,"Rajatabha Dutta, Aishwarya Sen, Santilal Mukherjee, Aman Sinha",,
Prashna Parihara Shala,None,125,"Action, Drama",3.6,2019,Shabeer Yena,"Akhil Prabhakar, Sarath Babu, Suryalal Sivaji, Jowin Abraham",,12
"Tanishk Bagchi, Sukh E and Parampara Tandon: Patli Kamariya",None,3,Music,,2021,Arvindr Khaira,"Tanishk Bagchi, Mouni Roy, Sukhe, Sachet Tandon",,
Laxmi Pooja,None,,None,,1957,Jayant Desai,"Jeevan Dhar, Shahu Modak, Minoo Mumtaz, Nirupa Roy",,
Anuradha,None,,Family,,1992,Kumar Sohoni,"Suhas Bhalekar, Ramesh Bhatkar, Dhansing Choudhary, Ajinkya Deo",,
RED: A Silent Short Film,None,12,"Short, Drama, Family",8.8,2022,Pulak Kumar Das,"Dhruba Kumar Das, Georgia Medhi",,25
Rock,None,,Short,7.9,1972,,K.P. Kumaran,,13
Shankar Guru,None,,Action,6.0,1987,,"Arjun Sarja, Seeta",,7
Raan,None,,"Short, Thriller",,2020,Selvaraj Chandru,Prithvi Pandiarajan,,
Bhiu Nakos Mi Tuzha Pathishi Aahe,None,,Drama,,2004,Rajesh Limkar,"Madhav Apte, Vijay Chavan, Prakash Deshmukh, Sanket Deshmukh",,
Thirudan,None,,None,,1969,A.C. Trilogchander,"K. Balaji, Shivaji Ganesan, Nagesh, Major Sundarrajan",,
Bhookh,None,,Short,,2022,"Vidur Gotawala, 
Abhishek Rotliwala","Kush Solanki, Hasvi Khatri, Naimesh Lalwala, Naimish Lalwala",,
Aayiram Janmangal,Not Rated,112,None,6.6,1976,P.N. Sundaram,"Prem Nazir, K.R. Vijaya, K.P. Ummer, Sukumari",,11
Ichha,None,26,Romance,,2021,,"Gargi Mohanty, Snigdha Mohanty, Dushmant Panda, Raj Rajesh",,
Bellary Naga,None,132,Action,7.4,2009,Dinesh Baboo,"Avinash, Mansi Pritam, Trishna Pritam, Vishnuvardhan",,19
Dhruva Tara,None,95,Drama,,2015,Nikky Ngawang Golay,"Kushal Ghimiray, Manisha Gurung, Topchen Moktan, Avinash Wanem Subba",,
Ramdeen (Now & Then),None,,"Short, Drama",,2022,Dr(Er) Azad Jain,"Ishtiyak Khan, Anshu Varshney, Dr(Er) Azad Jain, Amit Vasuniya",,
Buk Bhara Bhalobasa,Not Rated,136,Romance,,2000,Sanat Dutta,"Mitali Chakraborty, Lily Chakravarty, Subhendu Chatterjee, Arun Govil",,
Raghupathi Venkaiah Naidu,None,97,Drama,7.3,2019,Babji,"Tanikella Bharani, V.K. Naresh, Maharshi Raghava",,6
Fiction,None,,"Drama, Thriller",,2017,Abhilash Sudheesh,"Nandhu Gopalakrishnan, Fayaz Daulath Khan, Anoop Mohan S., Kiran Sony",,
And Gandhi Goes Missing...,Not Rated,19,"Short, Drama",,2011,Devendra Shivaji Jadhav,"Soham Kadam, Reshma Merchant, Shreyas Paranjpe, Kamlesh Sawant",,
Chitradurgada Onake Obavva,None,,History,,2019,B.A. Purushottam,"B. Akshay, Ravi Chethan, Praveen Das, Ganesh Rao",,
Furrr Chidiya Udd,None,,Comedy,,2020,Manoj Sharma,"Rajpal Naurang Yadav, Shakti Kapoor, Vrajesh Hirjee, Hemant Pandey",,
Sonam,None,,"Drama, Romance",,2007,Ahsan Muzid,"Hage D. Appa, Sonam Palzar Lacwungpa, Tashi Lhamo",,
Naag Mani,None,,"Adventure, Fantasy",6.5,1957,Raman B. Desai,"Manher Desai, Helen, Trilok Kapoor, Nirupa Roy",,7
Hochheta Ki?,None,145,Comedy,6.9,2008,Basu Chatterjee,"Paran Banerjee, Ramaprasad Banik, Prasenjit Chatterjee, Paoli Dam",,17
Preeto,None,16,"Short, Drama",,2019,Navneet Kaur Drall,"Divya Kukreja, Sarita Mehta, Vikas Mehta, Kamal Parmar",,
Do Dilon Ki Sangam,None,,Romance,,1993,,Suraj Prakash,,
Vani Rani,None,138,None,7.0,1974,C.V. Rajendran,"Shivaji Ganesan, Vanisri, Varalakshmi G., Gandhimathi",,24
Paalai,None,,"Drama, History",6.8,2011,Senthamizhan,"Sunil, Shammu, Ilaiyaraaja, Sunil Kumar",,34
Kallanum Kullanum,None,,None,,1976,,K.S.R. Das,,
Suna Bhauja,None,,Drama,4.8,1994,Sisir Misra,"Narendra Behera, Dhira Biswal, Debu Bose, Debu Bramha",,7
Chennai 2 Bangkok,None,141,Drama,2.9,2019,Sathish Santhosh,"Jai Akash, Yogi Babu, Chaams, Sony Charishta",,9
Ganga Yamuna,None,144,Drama,,1997,S. Mahendar,"Mukhyamantri Chandru, Rekha Das, Doddanna, Bank Janardhan",,
Sarasala Sogadu,None,,Drama,,1993,"Sathya Prasad, 
V.V.S. Rama Prasad","Brahmanandam, Lathasri, Sridevika",,
Ek Daku Saher Mein,Not Rated,133,Action,4.8,1985,Kalidas,"Ashok Kumar, Pradeep Kumar, Suresh Oberoi, Sarika Thakur",,8
Avatara Purusha,None,,None,8.6,1989,Rajkishor Prasad,"Ambarish, Sumalatha, Pandari Bai, T.N. Balakrishna",,19
Tike Hasa Tike Luha,None,,Drama,6.6,1981,Sushil Mukherjee,"Ajit Das, Himanshu Das, Jharana Das, Dinabandhu",,6
Badi Panthulu,None,,"Drama, Family",7.2,1972,P. Chandrasekhara Reddy,"N.T. Rama Rao, Anjali Devi, Kongara Jaggaiah, Ramakrishna",,53
Jazira,None,,Thriller,,1987,Uday Shankar Pani,"Tom Alter, Balbinder, Balbinder Dhami, Sunil Dhawan",,
Enga Veetu Mapillai,None,,Reality-TV,,2018,,"Arya, Sangeetha",,
Strings,None,,"Drama, Romance",,2006,Sanjay Jha,"Adam Bedi, Tannishtha Chatterjee, Vineet Kumar, Sandhya Mridul",,
Daveli,None,,"Documentary, Short",,2021,,Renganaath Ravee,,
Amrapali,None,,None,,1945,Nandlal Jaswantlal,"Prem Adib, Arun, Sabita Devi, Jeevan Dhar",,
Baarish... Phir Wahi Mausam,None,4,Music,,2021,Amandeep Singh,"Shubham Gaur, Trishaan, Yoshika Verma",,
Mann Mera,None,4,"Short, Music",,2013,Vishal Yoman,"Priyam Joshi, Vikash Singh",,
Gruhadevta,None,,"Drama, Family",,1957,Madhav Shinde,"Barchi Bahdur, Rekha Kamat, Baby Niliwa, Suryakant",,
Vivaah,None,153,Drama,,2019,Manjul Thakur,"Akanksha Awasthi, Awdhesh Mishra, Pradeep Pandey",,
Dongodi Pelli,None,,None,,2006,Kodi Ramakrishna,"Rajendra Babu, Jalak Nandini, Ratna Bhattal, Prudhviraj",,
Princess from Kathmandu,None,,None,,1991,Arjun Gaur,"Alan Billingham, Ken Braithwaite, Val Braithwaite, Prem Chopra",,
Vishwas,None,139,Drama,,2006,Girish Mohite,"Aadesh Bandekar, Mrunal Kulkarni, Reema Lagoo, Sanjay Mone",,
Paisa Fek Tamasha Dekh,None,106,"Comedy, Game-Show, Reality-TV",,2018,,Rahul Purohit,,
Hou De Jarasa Ushir,Not Rated,134,Drama,7.5,2012,Wasim Maner,"Sadashiv Amrapurkar, Aishwarya Narkar, Sharvari Jamenis, Chinmay Mandlekar",,26
The Secret Life of Frogs,None,54,Documentary,8.2,2019,"Ajay Bedi, 
Vijay Bedi",Jeff Alan Greenway,,7
Ammayane Sathyam,Not Rated,130,"Comedy, Drama, Romance",6.2,1993,Balachandra Menon,"Mukesh, Annie, Balachandra Menon, Narendra Prasad",,87
Aaja Piya Tohe Pyar Dhun,None,,"Short, Music, Romance",,2003,,Nauheed Cyrusi,,
Bandhavyalu,None,,Drama,8.5,1968,S.V. Ranga Rao,"Dhulipala, Lakshmi, S.V. Ranga Rao, Savitri",,10
Five Rivers Still Thirsty: Based on Water Problem in Punjab,None,45,Documentary,9.4,2006,,Simran S Kaler,,14
Ghaav: The Wound,None,,"Action, Crime, Drama",6.1,2002,Kumar Jay,"Pankaj Berry, Rahul Bhat, Seema Biswas, Gayatri",,21
Chashmadeed (Eyewitness),None,25,"Short, Drama",,2022,Anaya Mazumdar,"Naina Gupta, Rajat Arora, Ramsha Farooqui",,
Kabhi Aana Tu Meri Gali,None,,"Short, Music, Romance",6.4,2003,,"Vidya Balan, Sandhya Mridul, Palash Sen",,19
Sipayi Lahala,None,,"Comedy, Mystery",5.8,1995,Vinayan,"Mukesh, Sreenivasan, Vani Viswanath, Vijayaraghavan",,79
Chinnanati Kalalu,None,,Drama,,1975,"T. Lenin Babu, 
K. Viswanath","Jayanthi, Krishnamraju",,
It's Complicated,None,,"Short, Drama",,2020,Saikishore Annamaraju,"Shivam Bhaargava, Anjali Sivaraman",,
Raghu More: Bachelor of Hearts,None,,Comedy,4.8,2003,Iqbal Raj,"Anamika Goel, Sonika Kapoor, Mangala Kenkre, Faraha Khan",,17
I Am Here,None,,Drama,,2020,,"Aritaa Paul, Sumit, Vivek",,
Hamari Manzil,None,,None,,1949,O.P. Dutta,Nirupa Roy,,
Manthrika Kuthira,None,,Thriller,4.9,1996,Viji Thampi,"Lalu Alex, Dileep, Indrans, Janardanan",,23
Shravan Kumar,None,,Drama,7.5,1984,Chandrakant,"Chandrima Bhaduri, Abhi Bhattacharya, Bharat Bhushan, Dulari",,10
Awesome Mausam,None,131,Romance,3.6,2016,Yogesh Bharadwaj,"Vaarssh Bhatnagar, Sunil Chaurasiyaa, Rakesh Kumar, Suhasini Mulay",,9
Ruk Ja Dil Deewane,None,,Romance,,,Yudhishthira Omparkash Sinhmar,"Rajbir Vats, Chitra Shukla, Chitrashi Rawat, Yash Sinha",,
Delhi Maappillai,Not Rated,142,None,6.4,1968,Devan,"Rajashree, V.K. Ramasamy, Cho Ramaswamy, S. Rama Rao",,6
Ayyayyo Brahmayya,None,,Comedy,,1992,Akella,"Brahmanandam, Nandhini, V.K. Naresh",,
Bang Bang Reloaded,None,,None,,,,Himanshu Jaykar,,
Khula Bazar,None,,Thriller,,2005,Irfan,"Mukesh Agarwal, Tannu, Vinod Tripathi, Anil Nagrath",,
Raag Prayaag,None,60,Documentary,,2017,Nandan Kudhyadi,"Ajoy Chakrabarti, Satyasheel Deshpande, Mahesh Elkunchwar, Bhimsen Joshi",,
2 Premi Premache,None,102,Romance,5.8,2015,Kamal Thakur,"Preeti Arora, Arun Bakshi, Swapnil Joshi, Anjana Mumtaz",,13
The Great Indian Stud,None,,"Short, Comedy",,2022,,"Suraj Bhan, Abhishek Kapoor, Kanikka Kapur",,
Rasputin,None,116,"Comedy, Drama",3.8,2015,Jinuji Daniel,"Vinay Forrt, Sreenath Bhasi, Aju Varghese, Joy Mathew",,68
Hotel Snow Fox,Not Rated,140,Drama,7.3,1976,"Tarun Majumdar, 
Dilip Mukherjee, 
Sachin Mukherjee, 
Yatrik","Uttam Kumar, Mithu Mukherjee, Samita Biswas, Asitbaran",,15
The 'C' Word,None,14,Short,,2019,Nishant Tripathi,"Ghanteshwar T. Guru, Madhvendra Jha, Rano Kaur, Akshat Kumar",,
Untitled Arya-Milind Rau series,None,,None,,,,Arya,,
Manushulu Matti Bommalu,None,,None,,1974,B. Bhaskara Rao,"Kongara Jaggaiah, Jamuna, Krishna, Savitri",,
Umaj Padel Tar,None,,None,6.8,1960,Dinkar D. Patil,"Ramesh Deo, Sharad Talwalkar",,7
Ambara,None,,Drama,,2013,Sen Prakash,"Sudha Belawadi, Bhama, Sadhu Kokila",,
KV Sammelan,None,,Comedy,,2018,,"Chirag Jain, Popular Meeruthi, Kumar Vishwas",,
Pondaatti Thevai,Not Rated,148,None,4.8,1990,Parthiban Radhakrishnan,"Parthiban Radhakrishnan, Ashwini, Sindhu, M.R. Krishnamurthy",,23
Kabhi Aaye Naa Judaai,None,,Drama,,2003,,"Pooja Ghai Rawal, Pamela Mukherjee, Prabhat Bhattacharya, Sanjeev Tyagi",,
Mother India,None,,Drama,9.0,1938,Dada Gunjal,"Sharifa, Pramila, Ashiq Hussain, Ghulam Mohammed",,8
First Day First Show,None,30,Music,,1998,,,,
Saari Raat,None,24,"Short, Drama",8.5,2013,Parimal Aloke,"Parimal Aloke, Paru Gambhir",,19
Kanavu Meippada Vendum,None,,Drama,,2004,Janaki Vishwanathan,"Lakshmi Gopalaswamy, Uma Riyaz Khan, Ramya Krishnan, Asim Sharma",,
Godi Gulabi,None,146,Comedy,6.6,1990,V.K. Naik,"Laxmikant Berde, Suhas Bhalekar, Asawari Joshi, Sudhir Joshi",,9
Kheer,None,7,"Short, Romance",6.2,2017,Surya Balakrishnan,"Abhimanyu Chawla, Stuti Dixit, Anupam Kher, Natasha Rastogi",,141
Kannukulle,None,,Musical,5.0,2009,Lena Muvendhar,"Aparna, Sarath Babu, Anumol K. Manoharan, Mithun",,9
Gramavasees,None,113,"Comedy, Drama",5.9,2019,B.N. Shajeer Sha,"Chriz Deepu, Indrans, Santhosh Keezhattoor, Azees Nedumangad",,9
Gadhi Janile Ghara Sundara,None,,Drama,6.2,1994,Basant Sahu,"Anita Das, Uttam Mohanty, Aparajita Mohanty, Mihir Das",,7
The Professor - A Simple Story of an Extraordinary Man,None,15,"Short, Drama",9.3,2019,Emraanakbar Enamdar,"Sajith Acharya, Jayesh Pandey, Sachin K. Jaryal",,7
Success,Not Rated,106,Drama,,2006,Toram Subbarayudu,"Ajay, Karuna, Swati Priya, Raghu Raju",,
Tum Bin,None,,"Short, Musical",,2004,,"Gayatri Bahl, Jugal Hansraj",,
Cheetah,None,,Action,,2005,T.L.V. Prasad,"Kaushik Banerjee, Mithun Chakraborty, Achyut Chatterjee, Biplab Chatterjee",,
Onaaigal Jakkiradhai,None,125,"Drama, Horror",3.2,2018,Jpr,"Baby Amrutha, Krishnaraj, Vijay Krishnaraj, Riythvika Panneerselvam",,12
Bhayaanak,None,105,Horror,6.6,1998,R. Mittal,"Anil Dhawan, Tina Ghai, Bharat Kapoor, Goga Kapoor",,9
Babul Ki Duwayen Leti Jaa,None,24,None,,2000,,"Tasneem Sheikh, Narayani Shastri, Kishwar Merchant, Moonmoon Banerjee",,
Cancel Culture Organization,None,7,"Short, Comedy",6.5,2021,Sanjeev Joshi,"CarryMinati, Atul Mishra, Yuvraj Sharma, Yuvraj Sharma",,827
Ronuwa,None,,Drama,,2021,Chandra Mudoi,"Rajiv Kro, Pranami Bora, Rodali Bora, Barnali Dutta",,
The Buddhist Monk,None,130,"Adventure, Crime, Drama",,2016,"Rattan Mann, 
Usha Singh","Deachen Angmo, Shantanu Arora, Siddharth Bhardwaj, Sidharth Bhardwaj",,
Naanu Adu Mattu Saroja,None,,Comedy,,,Vinay Preetham,"Yogesh, Apoorva Bharadwaj",,
Pitha,None,,Drama,,2021,Aathityaa,"Kalaiyarasan, V. Mathiyalagan, Ramesh Thilak, Anu Keerthy Vas",,
Khaufnak Khiladi,None,,None,,1933,,Sanat Kumar Vin,,
Nepotism,None,,"Short, Drama",,2020,Rupesh Gohil,"Sachin Chhabra, Mohan Kapur",,
Lagli Paij,None,139,Comedy,,2009,Milind Shintre,"Kishori Ambiye, Priya Arun Berde, Sameer Dharmadhikari, Milind Gunaji",,
Rustam-E-Hind,None,,Action,,2008,Sarabjit Behniwal,"Guggu Gill, Shavinder Mahal, Parminder Dumchheri, Donny Kapoor",,
Aami Se O Sakha,None,,Drama,,1975,Mangal Chakroborty,"Asitbaran, Kabari Basu, Arati Bhattacharya, Anil Chatterjee",,
Parannu Parannu,None,,Adventure,,,Sugeeth,Asif Ali,,
Akka Bavekkada,None,,Drama,,2001,,"Brahmanandam, Raasi",,
"The Hidden Date, Friendship vs Love",None,,"Short, Comedy",,2019,Manas Ranjan Das,"Ashwini Chander, Piyush Gupta, Vinod Kumar Gupta, Priyanjali Thakur",,
Huliyaa,None,143,Drama,,1996,K.V. Raju,"Shankanada Aravind, Archana, Avinash, Vaijanath Biradar",,
Pehla Aadmi,None,,"Drama, History",7.0,1950,Bimal Roy,"Smriti Biswas, Sr. Balraj Vij, Nasir Hussain, Pahadi Sanyal",,9
Rangeen Gudhooli,Not Rated,145,Drama,,2008,Debanik Kundu,"Bratati Bandyopadhyay, Sabyasachi Chakrabarty, Nabonita Dey, Suman Halder",,
Chalte Chalte Yunhi Koi Mil Gaya Tha,None,,"Short, Musical",,2005,,Shweta Salve,,
