Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Eyewitness,TV-PG,25,"Crime, Drama",7.9,1968,Christian Nyby,"Martin Milner, Kent McCord, Mitch Carter, Jessica Jones",,72
Follow Up,TV-PG,25,"Crime, Drama",8.0,1968,Joseph Pevney,"Martin Milner, Kent McCord, William Boyett, Rod Cameron",,64
Foothill Division: Mac's Boots,TV-PG,25,"Crime, Drama",8.1,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, Rod Cameron, Jack De Mave",,68
Gifts and Long Letters,TV-PG,25,"Crime, Drama",8.0,1968,Harry Harris,"Martin Milner, Kent McCord, Leslie Parrish, Leonard Stone",,64
Grand Theft Auto,TV-PG,25,"Crime, Drama",8.1,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, William Boyett, Dianne Harper",,64
Gus Corbin,TV-PG,25,"Crime, Drama",8.4,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Mark Harmon, Fred Stromsoe",,101
Harbor Division,TV-PG,25,"Crime, Drama",7.9,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Jayne Meadows, Charles McGraw",,62
Harry Nobody,TV-PG,25,"Crime, Drama",7.7,1968,Sam Freedle,"Martin Milner, Kent McCord, Greg Mullavey, Anne Whitfield",,73
Hollywood Division,TV-PG,25,"Crime, Drama",7.9,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Marie Windsor, Roger Torrey",,68
Hot Shot,TV-PG,25,"Crime, Drama",8.0,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, Jed Allan, Lurene Tuttle",,63
Hot Spell,TV-PG,25,"Crime, Drama",8.0,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Joel Fluellen, Rodolfo Hoyos Jr.",,70
If the Shoe Fits,TV-PG,25,"Crime, Drama",7.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Dick Wilson, Irene Tedrow",,59
Keeping Tabs,TV-PG,25,"Crime, Drama",8.2,1968,Lawrence Doheny,"Martin Milner, Kent McCord, William Boyett, Sean Kelly",,65
Killing Ground,TV-PG,25,"Crime, Drama",8.5,1968,Lawrence Doheny,"Martin Milner, Kent McCord, John Davis Chandler, Joy Bang",,81
Krash,TV-PG,25,"Crime, Drama",8.0,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Sarah Selby, Russell Thorson",,68
L.A. International,TV-PG,25,"Crime, Drama",8.1,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, Len Wayland, Fred Stromsoe",,66
Pressure Point,TV-PG,25,"Crime, Drama",8.1,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Robert DoQui, Charles Lampkin",,75
Lady Beware,TV-PG,25,"Crime, Drama",7.8,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, Eric Shea",,69
Log 101: The Stolen Lawn,TV-PG,25,"Crime, Drama",7.8,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Bruce Watson, Harry Hickox",,97
Log 102: We Can't Just Walk Away from It,TV-PG,25,"Crime, Drama",7.7,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Scott Brady, Kelly Thordsen",,97
Log 103: A Sound Like Thunder,TV-PG,25,"Crime, Drama",7.7,1968,Joseph Pevney,"Martin Milner, Kent McCord, Barbara Baldavin, Bruce Glover",,115
Log 104: The Bomb,TV-PG,25,"Crime, Drama",8.1,1968,Jean Yarbrough,"Martin Milner, Kent McCord, Frank Maxwell, William Boyett",,71
Log 106: Post Time,TV-PG,25,"Crime, Drama",8.2,1968,Christian Nyby,"Martin Milner, Kent McCord, Morey Amsterdam, E.J. André",,78
Log 111: The Boa Constrictor,TV-PG,25,"Crime, Drama",8.0,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Luana Anders, Dan Ferrone",,110
Log 112: You Blew It,TV-PG,25,"Crime, Drama",7.8,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, William Dooley, Maudie Prickett",,91
Log 114: The Hero,TV-PG,25,"Crime, Drama",8.1,1968,Joseph Pevney,"Martin Milner, Kent McCord, A Martinez, William Boyett",,78
Log 115: Gang War,TV-PG,25,"Crime, Drama",7.7,1968,James Neilson,"Martin Milner, Kent McCord, Rafael Campos, John Dennis",,73
"Log 11: It's Just a Little Dent, Isn't It?",TV-PG,25,"Crime, Drama",7.3,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Vincent Beck, Joan Shawlee",,130
Log 122: Christmas - The Yellow Dump Truck,TV-PG,25,"Crime, Drama",7.7,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Dick Foran, Mittie Lawrence",,114
Log 123: Courtroom,TV-PG,25,"Crime, Drama",7.9,1968,Joseph Pevney,"Martin Milner, Kent McCord, Roger Perry, Phillip Pine",,79
Log 124: Airport,TV-PG,25,"Crime, Drama",7.7,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Myron Healey, Ronne Troup",,75
Log 125: A Safe Job,TV-PG,25,"Crime, Drama",7.8,1968,Jean Yarbrough,"Martin Milner, Kent McCord, Michael O'Shea, Charles Robinson",,64
Log 12: He Was Trying to Kill Me,TV-PG,25,"Crime, Drama",8.3,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Hampton Fancher, Dawn Lyn",,138
"Log 131: Reed, the Dicks Have Their Jobs, and We Have Ours",TV-PG,25,"Crime, Drama",7.4,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Jack Hogan, Bob Hastings",,116
Log 132: Producer,TV-PG,25,"Crime, Drama",7.6,1968,Phil Rawlins,"Martin Milner, Kent McCord, Karen Black, James McEachin",,111
Log 134: Child Stealer,TV-PG,25,"Crime, Drama",8.1,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Gloria Manon, Burt Mustin",,75
Log 135: Arson,TV-PG,25,"Crime, Drama",7.7,1968,Christian Nyby,"Martin Milner, Kent McCord, Richard Van Vleet, Mary Grace Canfield",,77
Log 141: The Color TV Bandit,TV-PG,25,"Crime, Drama",7.4,1968,Phil Rawlins,"Martin Milner, Kent McCord, Cloris Leachman, Ray Ballard",,153
Log 142: As High as You Are,TV-PG,25,"Crime, Drama",7.7,1968,Robert Douglas,"Martin Milner, Kent McCord, Jerry Ayres, Frank Campanella",,75
Log 143: Cave,TV-PG,25,"Crime, Drama",8.0,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Alice Frost, Mitch Vogel",,84
Log 144: Bank Robbery,TV-PG,25,"Crime, Drama",7.9,1968,Joseph Pevney,"Martin Milner, Kent McCord, Jed Allan, Mike Mazurki",,86
Log 14: SWAT,TV-PG,25,"Crime, Drama",8.3,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Adam Wade, Thomas Bellin",,77
Log 152: A Dead Cop Can't Help Anyone,TV-PG,25,"Crime, Drama",8.3,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Gary Crosby, Walter Mathews",,103
Log 153: Find Me a Needle,TV-PG,25,"Crime, Drama",8.2,1968,Robert Douglas,"Martin Milner, Kent McCord, Jonathan Goldsmith, William Boyett",,94
Log 155: Internal Affairs - Blackmail,TV-PG,25,"Crime, Drama",8.1,1968,Christian Nyby,"Martin Milner, Kent McCord, Jed Allan, Gloria Manon",,81
Log 15: Exactly 100 Yards,TV-PG,25,"Crime, Drama",7.6,1968,Joseph Pevney,"Martin Milner, Kent McCord, Butch Patrick, William Boyett",,102
Log 161: And You Want Me to Get Married?,TV-PG,25,"Crime, Drama",7.3,1968,Phil Rawlins,"Martin Milner, Kent McCord, Paul Carr, Anne Whitfield",,111
Log 164: The Poachers,TV-PG,25,"Crime, Drama",7.7,1968,James Neilson,"Martin Milner, Kent McCord, Gary Crosby, Marjorie Bennett",,74
Log 165: Once a Cop,TV-PG,25,"Crime, Drama",8.2,1968,Christian Nyby,"Martin Milner, Kent McCord, Leo Gordon, Robert Patten",,80
Log 16: A Child in Danger,TV-PG,25,"Crime, Drama",8.4,1968,James Neilson,"Martin Milner, Kent McCord, Susan Seaforth Hayes, John Davis Chandler",,83
Log 172: The Things You Do for the Job,TV-PG,25,"Crime, Drama",7.7,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Ahna Capri, William Stevens",,136
Log 173: Shoplift,TV-PG,25,"Crime, Drama",7.6,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Liam Sullivan, Richard Eastham",,73
Log 174: Loan Sharks,TV-PG,25,"Crime, Drama",8.1,1968,Bruce Kessler,"Martin Milner, Kent McCord, Arthur Hunnicutt, Tim Rooney",,82
Log 175: The Con Artists,TV-PG,25,"Crime, Drama",8.0,1968,James Neilson,"Martin Milner, Kent McCord, Barbara Morrison, Irene Tedrow",,74
Log 1: The Impossible Mission,TV-PG,25,"Crime, Drama",7.5,1968,Jack Webb,"Martin Milner, Kent McCord, Art Gilmore, Ann Morgan Guilbert",,203
"Log 22:...So This Little Guy Goes Into a Bar, and...",TV-PG,25,"Crime, Drama",7.5,1968,Phil Rawlins,"Martin Milner, Kent McCord, Gary Crosby, Nydia Westman",,78
Log 23: Pig Is a Three-Letter Word,TV-PG,25,"Crime, Drama",8.3,1968,Joseph Pevney,"Martin Milner, Kent McCord, Ellen Corby, Herbert Anderson",,94
Log 24: A Rare Occasion,TV-PG,25,"Crime, Drama",8.1,1968,Robert Douglas,"Martin Milner, Kent McCord, Carla Borelli, David Cassidy",,97
Log 25: Indians,TV-PG,25,"Crime, Drama",7.2,1968,Oscar Rudolph,"Martin Milner, Kent McCord, Thomas A. Geas, Bill Borsella",,75
Log 26: LEMRAS,TV-PG,25,"Crime, Drama",8.0,1968,James Neilson,"Martin Milner, Kent McCord, Don 'Red' Barry, Ken Lynch",,77
Log 32: Jimmy Eisley's Dealing Smack,TV-PG,25,"Crime, Drama",7.5,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, William Mims, Stacy Harris",,93
Log 33: It All Happened So Fast,TV-PG,25,"Crime, Drama",8.7,1968,Bruce Kessler,"Martin Milner, Kent McCord, Art Gilmore, William Boyett",,110
Log 34: Astro Division,TV-PG,25,"Crime, Drama",8.2,1968,Robert Douglas,"Martin Milner, Kent McCord, Gary Crosby, Kenneth Tobey",,64
"Log 35: Easy, Bare Rider",TV-PG,25,"Crime, Drama",7.9,1968,Bruce Kessler,"Martin Milner, Kent McCord, Sidney Miller, Dave Willock",,83
Log 36: Man Between,TV-PG,25,"Crime, Drama",8.1,1968,James Neilson,"Martin Milner, Kent McCord, Gary Crosby, Claude Johnson",,70
Log 43: Hostage,TV-PG,25,"Crime, Drama",8.2,1968,Joseph Pevney,"Martin Milner, Kent McCord, Ken Lynch, Joe Turkel",,84
Log 44: Attempted Bribery,TV-PG,25,"Crime, Drama",8.6,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, John Lasell, Del Moore",,83
Log 45: Bright Boy,TV-PG,25,"Crime, Drama",8.4,1968,James Neilson,"Martin Milner, Kent McCord, Bruce Gordon, Robin Raymond",,91
Log 46: Pilgrimage,TV-PG,25,"Crime, Drama",8.2,1968,Oscar Rudolph,"Martin Milner, Kent McCord, J. Pat O'Malley, Stanley Adams",,79
"Log 51: A Jumper, Code 2",TV-PG,25,"Crime, Drama",7.4,1968,Harry Morgan,"Martin Milner, Kent McCord, Henry Beckman, Katherine Squire",,89
Log 52: Good Cop - Handle with Care,TV-PG,25,"Crime, Drama",8.1,1968,Robert Douglas,"Martin Milner, Kent McCord, Carl Reindel, Margarita Cordova",,84
Log 54: Impersonation,TV-PG,25,"Crime, Drama",8.1,1968,Joseph Pevney,"Martin Milner, Kent McCord, Virginia Gregg, James McEachin",,76
Log 55: Missing Child,TV-PG,25,"Crime, Drama",8.3,1968,Christian Nyby,"Martin Milner, Kent McCord, Coleen Gray, Lester Matthews",,96
Log 56: Vice Versa,TV-PG,25,"Crime, Drama",8.5,1968,Christian Nyby,"Martin Milner, Kent McCord, Charles McGraw, George Furth",,75
Log 61: The Runaway,TV-PG,25,"Crime, Drama",7.3,1968,Phil Rawlins,"Martin Milner, Kent McCord, William Stevens, Robert Donner",,94
Log 62: Grand Theft Horse?,TV-PG,25,"Crime, Drama",7.8,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Tim Matheson, Maura McGiveney",,109
Log 63: Baby,TV-PG,25,"Crime, Drama",7.9,1968,Joseph Pevney,"Martin Milner, Kent McCord, William Boyett, Foster Brooks",,85
Log 64: Bottom of the Bottle,TV-PG,25,"Crime, Drama",8.0,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Norma Crane, J. Pat O'Malley",,72
Log 66: The Vandals,TV-PG,25,"Crime, Drama",8.4,1968,Oscar Rudolph,"Martin Milner, Kent McCord, Robert Clarke, Jordan Rhodes",,84
"Log 69: Cigarettes, Cars, and Wild, Wild Women",TV-PG,25,"Crime, Drama",8.3,1968,Christian Nyby,"Martin Milner, Kent McCord, Tony Dow, Cynthia Hull",,96
"Log 71: I Feel Like a Fool, Malloy",TV-PG,25,"Crime, Drama",7.4,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Ned Glass, Charles Dierkop",,114
Log 72: El Presidente,TV-PG,25,"Crime, Drama",7.2,1968,Phil Rawlins,"Martin Milner, Kent McCord, Stafford Repp, James Sikking",,106
Log 73: I'm Still a Cop,TV-PG,25,"Crime, Drama",7.7,1968,Phil Rawlins,"Martin Milner, Kent McCord, Anne Helm, Paul Carr",,101
Log 74: Light Duty,TV-PG,25,"Crime, Drama",7.9,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Beth Brickell, William Boyett",,77
Log 75: Have a Nice Weekend,TV-PG,25,"Crime, Drama",8.1,1968,Oscar Rudolph,"Martin Milner, Kent McCord, Virginia Gregg, Norma Connolly",,76
Log 76: The Militants,TV-PG,25,"Crime, Drama",7.8,1968,Christian Nyby,"Martin Milner, Kent McCord, Timothy Brown, James McEachin",,80
Log 81: The Long Walk,TV-PG,25,"Crime, Drama",8.0,1968,Phil Rawlins,"Martin Milner, Kent McCord, Richard Hale, Dan Ferrone",,99
Log 83: A Different Thing,TV-PG,25,"Crime, Drama",7.8,1968,Robert Douglas,"Martin Milner, Kent McCord, Naomi Stevens, Pearl Shear",,77
Log 85: Sign of the Twins,TV-PG,25,"Crime, Drama",7.9,1968,Christian Nyby,"Martin Milner, Kent McCord, Margaret O'Brien, Stacy Harris",,72
Log 88 - Reason to Run,TV-PG,25,"Crime, Drama",8.3,1968,Christian Nyby,"Martin Milner, Kent McCord, Rod Cameron, Linda Henning",,95
Log 91: You're Not the First Guy's Had the Problem,TV-PG,25,"Crime, Drama",7.6,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Ken Swofford, Craig Curtis",,120
Log 92: Tell Him He Pushed Back a Little Too Hard,TV-PG,25,"Crime, Drama",7.9,1968,Phil Rawlins,"Martin Milner, Kent McCord, James T. Callahan, Joan Staley",,104
Log 93: Once a Junkie,TV-PG,25,"Crime, Drama",8.2,1968,Joseph Pevney,"Martin Milner, Kent McCord, John Kerr, Robert Donner",,73
Log 94: Vengeance,TV-PG,25,"Crime, Drama",8.2,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, Timothy Brown, James McEachin",,74
Log 95: Purse Snatcher,TV-PG,25,"Crime, Drama",8.4,1968,James Neilson,"Martin Milner, Kent McCord, Gary Morgan, Myron Healey",,96
Lost and Found,TV-PG,25,"Crime, Drama",8.2,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Robert Fuller, Julie London",,101
Mary Hong Loves Tommy Chen,TV-PG,25,"Crime, Drama",7.8,1968,James Neilson,"Martin Milner, Kent McCord, Keye Luke, Virginia Ann Lee",,75
Million Dollar Buff,TV-PG,25,"Crime, Drama",7.8,1968,James Neilson,"Martin Milner, Kent McCord, Leo Gordon, William Boyett",,110
Nightwatch,TV-PG,25,"Crime, Drama",8.1,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Keefe Brasselle, Carlos Romero",,58
North Hollywood Division,TV-PG,25,"Crime, Drama",8.0,1968,Lawrence Doheny,"Martin Milner, Kent McCord, William Campbell, Chanin Hale",,60
Northwest Division,TV-PG,25,"Crime, Drama",8.1,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Johnny Whitaker, James G. Richardson",,75
O'Brien's Stand,TV-PG,25,"Crime, Drama",8.5,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Lillian Bronson, William Boyett",,72
Operation Action,TV-PG,25,"Crime, Drama",8.5,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, Pepe Serna",,77
Pick-up,TV-PG,25,"Crime, Drama",8.1,1968,James Neilson,"Martin Milner, Kent McCord, Barbara Hale, Bill Williams",,89
Point of View,TV-PG,25,"Crime, Drama",8.1,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, William Boyett, Howard Culver",,67
Pot Shot,TV-PG,25,"Crime, Drama",8.2,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, John Elerick",,68
Ladies' Night,TV-PG,25,"Crime, Drama",8.0,1968,David Nelson,"Martin Milner, Kent McCord, William Boyett, Aneta Corsaut",,85
Rampart Division: The Senior Citizens,TV-PG,25,"Crime, Drama",7.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Bill Quinn, Elizabeth Kerr",,64
Roll Call,TV-PG,25,"Crime, Drama",8.6,1968,Norman Abbott,"Martin Milner, Kent McCord, William Boyett, William Elliott",,72
Routine Patrol: The Drug Store Cowboys,TV-PG,25,"Crime, Drama",8.3,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Bill Williams, Jo Anne Meredith",,74
Skywatch: Part 1,TV-PG,25,"Crime, Drama",7.5,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, Jack Hogan",,75
Skywatch: Part 2,TV-PG,25,"Crime, Drama",7.6,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, Jack Hogan",,68
Something Worth Dying For: Part 1,TV-PG,25,"Crime, Drama",8.1,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Sian Barbara Allen, Kristin Harmon",,87
Something Worth Dying For: Part 2,TV-PG,25,"Crime, Drama",8.5,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Kristin Harmon, Gary Crosby",,103
Southwest Division,TV-PG,25,"Crime, Drama",8.1,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Fred Holliday, Lillian Bronson",,70
Substation,TV-PG,25,"Crime, Drama",8.2,1968,Christian Nyby,"Martin Milner, Kent McCord, Francine York, Robert Dowdell",,87
Suicide,TV-PG,25,"Crime, Drama",8.3,1968,Dennis Donnelly,"Martin Milner, Kent McCord, William Boyett, Tom Drake",,69
Sunburn,TV-PG,25,"Crime, Drama",8.2,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Paul Picerni, Dick Whittinghill",,58
Suspect Number One,TV-PG,25,"Crime, Drama",8.2,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, William Boyett, Frank Aletter",,70
Suspended,TV-PG,25,"Crime, Drama",8.4,1968,Sam Freedle,"Martin Milner, Kent McCord, Don Dubbins, William Boyett",,75
Teamwork,TV-PG,25,"Crime, Drama",7.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, William Boyett, William Elliott",,69
The Adoption,TV-PG,25,"Crime, Drama",7.6,1968,Christian Nyby,"Martin Milner, Kent McCord, Tom Drake, Jackie Coogan",,72
The Beast,TV-PG,25,"Crime, Drama",8.5,1968,Robert M. Leeds,"Martin Milner, Kent McCord, Lennie Weinrib, Marty Ingels",,79
The Chaser,TV-PG,25,"Crime, Drama",8.2,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Marie Windsor, William Boyett",,68
The Dinosaur,TV-PG,25,"Crime, Drama",7.7,1968,Ozzie Nelson,"Martin Milner, Kent McCord, Heather North, William Boyett",,73
The Ferret,TV-PG,25,"Crime, Drama",7.8,1968,Alan Crosland Jr.,"Martin Milner, Kent McCord, William Boyett, Steve Franken",,80
The Grandmothers,TV-PG,25,"Crime, Drama",8.4,1968,Ozzie Nelson,"Martin Milner, Kent McCord, William Boyett, Florence Lake",,80
The Late Baby,TV-PG,25,"Crime, Drama",8.2,1968,Lawrence Dobkin,"Martin Milner, Kent McCord, Tina Sinatra, Frank Sinatra Jr.",,91
The Parole Violator,TV-PG,25,"Crime, Drama",7.8,1968,James Neilson,"Martin Milner, Kent McCord, John Roper, Carmen Zapata",,70
The Princess and the Pig,TV-PG,25,"Crime, Drama",8.2,1968,James Neilson,"Martin Milner, Kent McCord, Leslie Charleson, James McEachin",,88
The Radical,TV-PG,25,"Crime, Drama",8.0,1968,Oscar Rudolph,"Martin Milner, Kent McCord, Robert Conrad, Frank Ferguson",,74
The Search,TV-PG,25,"Crime, Drama",8.9,1968,James Neilson,"Martin Milner, Kent McCord, William Boyett, Dick Peabody",,130
The Surprise,TV-PG,25,"Crime, Drama",7.9,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Don Stroud, Felton Perry",,63
The Sweet Smell,TV-PG,25,"Crime, Drama",7.9,1968,Dennis Donnelly,"Martin Milner, Kent McCord, George Chandler, Sheila Bromley",,72
The Tip,TV-PG,25,"Crime, Drama",7.8,1968,Christian Nyby,"Martin Milner, Kent McCord, Eddie Quillan, Larry Linville",,67
The Vendetta,TV-PG,25,"Crime, Drama",7.9,1968,Sam Freedle,"Martin Milner, Kent McCord, Barbara Nichols, Peter Brocco",,66
Training Division: The Rookie,TV-PG,25,"Crime, Drama",8.1,1968,Kenneth Johnson,"Martin Milner, Kent McCord, John Elerick, William Elliott",,78
Training Wheels,TV-PG,25,"Crime, Drama",8.2,1968,Paul Landres,"Martin Milner, Kent McCord, William Boyett, Walt Davis",,71
Trouble in the Bank,TV-PG,25,"Crime, Drama",8.5,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Leo Gordon, Thomas Bellin",,69
Truant,TV-PG,25,"Crime, Drama",8.3,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, Gary Crosby, Vincent Van Patten",,75
Van Nuys Division: Pete's Mustache,TV-PG,25,"Crime, Drama",8.2,1968,Dennis Donnelly,"Martin Milner, Kent McCord, Sidney Miller, Priscilla Pointer",,76
Venice Division,TV-PG,25,"Crime, Drama",7.9,1968,Lawrence Doheny,"Martin Milner, Kent McCord, Larry Hovis, Laurette Spang",,80
Victim of the Crime,TV-PG,25,"Crime, Drama",8.1,1968,Hollingsworth Morse,"Martin Milner, Kent McCord, William Boyett, Amy Milner",,65
Wednesday Warrior,TV-PG,25,"Crime, Drama",8.4,1968,James Neilson,"Martin Milner, Kent McCord, Gary Crosby, Jason Wingreen",,77
West Valley Division,TV-PG,25,"Crime, Drama",7.9,1968,Christian I. Nyby II,"Martin Milner, Kent McCord, Norman Alden, Peggy Webber",,69
Who Won?,TV-PG,25,"Crime, Drama",7.5,1968,James Neilson,"Martin Milner, Kent McCord, Gary Crosby, Murray MacLeod",,90
Addams Cum Laude,TV-G,25,"Comedy, Family, Horror",7.6,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,172
Art and the Addams Family,TV-G,25,"Comedy, Family, Horror",7.0,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,237
Cat Addams,TV-G,25,"Comedy, Family, Horror",7.4,1964,Stanley Z. Cherry,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,172
Christmas with the Addams Family,TV-G,25,"Comedy, Family, Horror",7.9,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,217
Cousin Itt Visits the Addams Family,TV-G,25,"Comedy, Family, Horror",7.4,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,244
Cousin Itt's Problem,TV-G,25,"Comedy, Family, Horror",7.5,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,175
Crisis in the Addams Family,TV-G,25,"Comedy, Family, Horror",7.2,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,196
Fester Goes on a Diet,TV-G,25,"Comedy, Family, Horror",7.4,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,171
Fester's Punctured Romance,TV-G,25,"Comedy, Family, Horror",7.4,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,353
Feud in the Addams Family,TV-G,25,"Comedy, Family, Horror",7.6,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,177
"Gomez, the Cat Burglar",TV-G,25,"Comedy, Family, Horror",7.5,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,168
"Gomez, the People's Choice",TV-G,25,"Comedy, Family, Horror",7.6,1964,Sidney Lanfield,"Carolyn Jones, John Astin, Jackie Coogan, Ted Cassidy",,174
"Gomez, the Politician",TV-G,25,"Comedy, Family, Horror",7.4,1964,Jerry Hopper,"Carolyn Jones, John Astin, Allyn Joslyn, Jackie Coogan",,327
